9/14/2014 9:32:55 PM	70.109.44.237	3
9/14/2014 9:33:38 PM	70.109.44.237	4
9/14/2014 9:33:48 PM	70.109.44.237	5
12/27/2014 3:02:48 AM	192.168.1.100	3
3/7/2015 3:03:45 PM	74.67.130.104	3
3/23/2015 2:19:02 AM	96.248.224.93	3
3/26/2015 11:20:35 PM	192.168.1.100	3
3/26/2015 11:22:24 PM	192.168.1.100	3
3/26/2015 11:22:34 PM	192.168.1.100	4
3/26/2015 11:22:44 PM	192.168.1.100	5
3/26/2015 11:23:37 PM	192.168.1.100	6
3/26/2015 11:24:15 PM	192.168.1.100	7
3/26/2015 11:24:36 PM	192.168.1.100	8
3/26/2015 11:25:09 PM	192.168.1.100	9
3/27/2015 5:42:12 PM	192.168.1.100	3
3/30/2015 11:23:15 PM	109.147.62.208	3
3/30/2015 11:23:26 PM	109.147.62.208	4
4/1/2015 4:04:42 AM	192.168.1.100	3
4/8/2015 7:07:12 PM	104.235.99.189	3
4/11/2015 10:12:31 PM	96.248.224.93	3
4/16/2015 4:50:47 AM	70.211.79.98	3
4/16/2015 4:51:12 AM	70.211.79.98	4
